"","gene","X","baseMean","log2FoldChange_raw","lfcSE","stat","pvalue","padj_raw","log2FoldChange_shrunk","padj_shrunk","diffexpressed","Label"
"39253","evm.TU.utg989.28","evm.TU.utg989.28",147.198088450135,0.0161359254516264,0.281980269739207,0.0572235974756315,0.954367080889254,0.998683342004946,0.000193668431403353,0.998683342004946,"Non-Sig","NO"
"39254","evm.TU.utg989.29","evm.TU.utg989.29",7712.3760611189,-0.141032491728348,0.210332079756786,-0.670522974390921,0.502524465884735,0.988372875134511,-0.00194574636090903,0.988372875134511,"Non-Sig","NO"
"39255","evm.TU.utg989.3","evm.TU.utg989.3",105.581300688507,-0.0847760647389473,0.250859315397518,-0.337942661625337,0.73540639753971,0.997907053518423,-0.0010481072154278,0.997907053518423,"Non-Sig","NO"
"39256","evm.TU.utg989.30","evm.TU.utg989.30",724.15028894323,-0.203658962029655,0.189862227252921,-1.07266708589885,0.283420513138695,0.949492490502701,-0.00355445812423509,0.949492490502701,"Non-Sig","NO"
"39257","evm.TU.utg989.31","evm.TU.utg989.31",83.1326719271458,-0.28512292164607,0.314715836017906,-0.905969414357173,0.3649520414923,0.971505909053474,-0.00460138478949827,0.971505909053474,"Non-Sig","NO"
"39258","evm.TU.utg989.32","evm.TU.utg989.32",0.228159045580244,0.125516324258224,3.0917141980519,0.0405976478476932,0.967616659358083,NA,0.000177533261581318,NA,"Non-Sig","NO"
"39259","evm.TU.utg989.33","evm.TU.utg989.33",78.9894696936135,-0.360459193808992,0.247837196381506,-1.45441926826078,0.145830101088056,0.868555765931492,-0.00918149800972519,0.868555765931492,"Non-Sig","NO"
"39260","evm.TU.utg989.34","evm.TU.utg989.34",4.80884772050788,0.655098560374634,0.984326863789971,0.665529494798401,0.505711884975509,NA,0.00551452744207637,NA,"Non-Sig","NO"
"39261","evm.TU.utg989.35","evm.TU.utg989.35",36.5258933271253,-0.418105118125191,0.417783029713928,-1.00077094661189,0.316937558659811,0.959461722478369,-0.00707518343377117,0.959461722478369,"Non-Sig","NO"
"39262","evm.TU.utg989.36","evm.TU.utg989.36",130.542179910991,-0.0642571748102694,0.28006069469066,-0.229440175035074,0.818526813704034,0.997907053518423,-0.000783988456607914,0.997907053518423,"Non-Sig","NO"
"39263","evm.TU.utg989.37","evm.TU.utg989.37",79.0893041635842,0.0138056746735644,0.320752815961612,0.0430414761353699,0.965668471296959,0.998683342004946,0.000167530776550688,0.998683342004946,"Non-Sig","NO"
"39264","evm.TU.utg989.38","evm.TU.utg989.38",2076.52379762846,0.0158514524692819,0.199462797179322,0.0794707218260406,0.936658218538592,0.998455155854245,0.000191144809203181,0.998455155854245,"Non-Sig","NO"
"39265","evm.TU.utg989.39","evm.TU.utg989.39",1170.34241784196,0.512751761128478,0.221079204810398,2.31931249059912,0.0203780986564539,0.463203226563417,0.0459122250323181,0.463203226563417,"Non-Sig","NO"
"39266","evm.TU.utg989.40","evm.TU.utg989.40",25.1315919744154,0.216774329132811,0.385143984159028,0.562839712026513,0.573544035928421,0.993778726061932,0.00294935111211472,0.993778726061932,"Non-Sig","NO"
"39267","evm.TU.utg989.41","evm.TU.utg989.41",0.705396515358,0.872744178449817,2.68289862168192,0.325298977530016,0.744954804636584,NA,0.00159014263354829,NA,"Non-Sig","NO"
"39268","evm.TU.utg989.42","evm.TU.utg989.42",2414.83309394185,-0.194661779154036,0.206242060398505,-0.943851020387921,0.345245784216183,0.967565413000226,-0.00311339760862961,0.967565413000226,"Non-Sig","NO"
"39269","evm.TU.utg989.43","evm.TU.utg989.43",7.17669043508785,2.26340804576107,0.956788033075529,2.36563164203204,0.017999342998717,NA,0.0471275485519203,NA,"Non-Sig","NO"
"39270","evm.TU.utg989.44.45","evm.TU.utg989.44.45",1368.689629258,0.399684446642503,0.296684429984116,1.34717028009829,0.177925397380035,0.893554636965016,0.00922680456323898,0.893554636965016,"Non-Sig","NO"
"39271","evm.TU.utg989.46","evm.TU.utg989.46",40.275865052766,0.110930986621028,0.324270836774922,0.342093626809942,0.732280433510301,0.997907053518423,0.00140182074556711,0.997907053518423,"Non-Sig","NO"
"39272","evm.TU.utg989.50","evm.TU.utg989.50",4.19828305471171,-0.534278017608891,1.06650478545412,-0.500961669273142,0.61639809951282,NA,-0.00398544485157098,NA,"Non-Sig","NO"
"39273","evm.TU.utg989.51","evm.TU.utg989.51",117.03698000302,-0.0876228032498341,0.226613375242922,-0.386662098633434,0.699006378669212,0.997907053518423,-0.00109361528877057,0.997907053518423,"Non-Sig","NO"
"39274","evm.TU.utg989.6","evm.TU.utg989.6",1699.17002961021,0.0268956491563087,0.274793087999088,0.0978760031853419,0.922030755163044,0.998212313473018,0.000322819437128875,0.998212313473018,"Non-Sig","NO"
"39275","evm.TU.utg989.7","evm.TU.utg989.7",401.287433841765,0.0046153856798762,0.252409464942817,0.0182853114518578,0.985411245272336,0.998683342004946,5.4921697099201e-05,0.998683342004946,"Non-Sig","NO"
"39276","evm.TU.utg989.8","evm.TU.utg989.8",0.107970148314535,-0.429459964764154,3.10587946715238,-0.138273223190436,0.890024487005463,NA,-0.000602933633784201,NA,"Non-Sig","NO"
"39277","evm.TU.utg989.9","evm.TU.utg989.9",19.1913347618774,-0.901374563518772,0.4180928549804,-2.1559195589722,0.0310899469252825,0.552528330383636,-0.0506654995143536,0.552528330383636,"Non-Sig","NO"
"39278","evm.TU.utg9902.1","evm.TU.utg9902.1",5.2686534394771,-0.418748118105611,0.82777734711684,-0.505870472976963,0.612947581754255,NA,-0.00405720186190781,NA,"Non-Sig","NO"
"39279","evm.TU.utg9902.10","evm.TU.utg9902.10",3.39512377953595,-1.1976315669595,2.43207454427691,-0.492432096613871,0.622413913874579,NA,-0.00260189683494287,NA,"Non-Sig","NO"
"39280","evm.TU.utg9902.11","evm.TU.utg9902.11",285.202053519131,-0.131240269850886,0.209670498944181,-0.625935792168002,0.531357056831597,0.989527489106936,-0.00177691824659851,0.989527489106936,"Non-Sig","NO"
"39281","evm.TU.utg9902.12","evm.TU.utg9902.12",75.1086325206969,0.0801029555572897,0.291611179169168,0.274690962759081,0.783553674853621,0.997907053518423,0.000988582945330574,0.997907053518423,"Non-Sig","NO"
"39282","evm.TU.utg9902.13","evm.TU.utg9902.13",41.3068220286391,-0.290790644008082,0.375318830506376,-0.77478298548397,0.438467904840978,0.984127557973931,-0.00435556028971365,0.984127557973931,"Non-Sig","NO"
