"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","gene_id_labelling","Count","geneID_gene_level","dmr_feature_id","region_feature","context","methDiff","p_fdr","n_unique_genes_for_term","n_dmr_features_for_term","GO","region","experiment","GeneRatio_raw","BgRatio_raw"
"GO:0008270","zinc ion binding",0.125,0.0762607626076261,0.0483870967741935,1.63911290322581,0.912638101036354,0.274443081525479,0.381170946563165,0.304936757250532,"evm.utg3906.20",3,"evm.utg3906.20/evm.utg28737.6/evm.utg1032.34","exp1__gene__evm.utg3906.20__8909","gene","CHG",-2.355072464,0.000864222,3,4,"Molecular Functions","gene","Acute Experiment","3/24","62/813"
"GO:0008270","zinc ion binding",0.125,0.0762607626076261,0.0483870967741935,1.63911290322581,0.912638101036354,0.274443081525479,0.381170946563165,0.304936757250532,"evm.utg28737.6",3,"evm.utg3906.20/evm.utg28737.6/evm.utg1032.34","exp1__gene__evm.utg28737.6__8770","gene","CHG",-1.290322581,0.020971094,3,4,"Molecular Functions","gene","Acute Experiment","3/24","62/813"
"GO:0008270","zinc ion binding",0.125,0.0762607626076261,0.0483870967741935,1.63911290322581,0.912638101036354,0.274443081525479,0.381170946563165,0.304936757250532,"evm.utg1032.34",3,"evm.utg3906.20/evm.utg28737.6/evm.utg1032.34","exp1__gene__evm.utg1032.34__14629","gene","CHH",0.759296997,0.025055526,3,4,"Molecular Functions","gene","Acute Experiment","3/24","62/813"
"GO:0005524","ATP binding",0.166666666666667,0.115621156211562,0.0425531914893617,1.44148936170213,0.793350059402115,0.297793996751273,0.391834206251675,0.31346736500134,"evm.utg1571.14",4,"evm.utg1571.14/evm.utg162.19/evm.utg116.142/evm.utg2661.21","exp1__gene__evm.utg1571.14__3751","gene","CpG",-0.954979536,0.049259963,4,5,"Molecular Functions","gene","Acute Experiment","4/24","94/813"
"GO:0005524","ATP binding",0.166666666666667,0.115621156211562,0.0425531914893617,1.44148936170213,0.793350059402115,0.297793996751273,0.391834206251675,0.31346736500134,"evm.utg162.19",4,"evm.utg1571.14/evm.utg162.19/evm.utg116.142/evm.utg2661.21","exp1__gene__evm.utg162.19__3759","gene","CpG",-0.840727496,0.022309193,4,5,"Molecular Functions","gene","Acute Experiment","4/24","94/813"
"GO:0005524","ATP binding",0.166666666666667,0.115621156211562,0.0425531914893617,1.44148936170213,0.793350059402115,0.297793996751273,0.391834206251675,0.31346736500134,"evm.utg116.142",4,"evm.utg1571.14/evm.utg162.19/evm.utg116.142/evm.utg2661.21","exp1__gene__evm.utg116.142__8287","gene","CHG",-2.764976959,0.011207233,4,5,"Molecular Functions","gene","Acute Experiment","4/24","94/813"
"GO:0005524","ATP binding",0.166666666666667,0.115621156211562,0.0425531914893617,1.44148936170213,0.793350059402115,0.297793996751273,0.391834206251675,0.31346736500134,"evm.utg116.142",4,"evm.utg1571.14/evm.utg162.19/evm.utg116.142/evm.utg2661.21","exp1__gene__evm.utg116.142__14681","gene","CHH",-1.025641026,0.001101447,4,5,"Molecular Functions","gene","Acute Experiment","4/24","94/813"
"GO:0005524","ATP binding",0.166666666666667,0.115621156211562,0.0425531914893617,1.44148936170213,0.793350059402115,0.297793996751273,0.391834206251675,0.31346736500134,"evm.utg2661.21",4,"evm.utg1571.14/evm.utg162.19/evm.utg116.142/evm.utg2661.21","exp1__gene__evm.utg2661.21__8712","gene","CHG",-0.856327307,0.034308825,4,5,"Molecular Functions","gene","Acute Experiment","4/24","94/813"
"GO:0003676","nucleic acid binding",0.0833333333333333,0.0516605166051661,0.0476190476190476,1.61309523809524,0.711165259298002,0.354998444446146,0.414280565099303,0.331424452079443,"evm.utg1032.34",2,"evm.utg1032.34/evm.utg334.43","exp1__gene__evm.utg1032.34__14629","gene","CHH",0.759296997,0.025055526,2,2,"Molecular Functions","gene","Acute Experiment","2/24","42/813"
"GO:0003676","nucleic acid binding",0.0833333333333333,0.0516605166051661,0.0476190476190476,1.61309523809524,0.711165259298002,0.354998444446146,0.414280565099303,0.331424452079443,"evm.utg334.43",2,"evm.utg1032.34/evm.utg334.43","exp1__gene__evm.utg334.43__15342","gene","CHH",1.161751564,0.07081632,2,2,"Molecular Functions","gene","Acute Experiment","2/24","42/813"
"GO:0004674","protein serine/threonine kinase activity",0.0416666666666667,0.018450184501845,0.0666666666666667,2.25833333333333,0.857403039924989,0.364566897287387,0.414280565099303,0.331424452079443,"evm.utg162.19",1,"evm.utg162.19","exp1__gene__evm.utg162.19__3759","gene","CpG",-0.840727496,0.022309193,1,1,"Molecular Functions","gene","Acute Experiment","1/24","15/813"
